id_sector,SECTOR,SECTOR_NOMBRE,FUNCION,FUNCION_NOMBRE,DIVISION_FUNCIONAL,DIVISION_FUNCIONAL_NOMBRE
112, , ,19,VIVIENDA Y DESARROLLO URBANO,41,DESARROLLO URBANO
113, , ,10,AGROPECUARIA,25,RIEGO
114, , ,21,CULTURA Y DEPORTE,46,DEPORTES
115, , ,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",9,CIENCIA Y TECNOLOGIA
116, , ,7,TRABAJO,11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
117, , ,15,TRANSPORTE,36,TRANSPORTE URBANO
118, , ,17,AMBIENTE,54,"DESARROLLO ESTRATEGICO, CONSERVACION Y APROVECHAMIENTO SOSTENIBLE DEL PATRIMONIO NATURAL"
119, , ,8,COMERCIO,4,PLANEAMIENTO GUBERNAMENTAL
120, , ,22,EDUCACION,47,EDUCACION BASICA
121, , ,10,AGROPECUARIA,23,AGRARIO
122, , ,20,SALUD,44,SALUD INDIVIDUAL
123, , ,10,AGROPECUARIA,24,PECUARIO
124, , ,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",5,INFORMACION PUBLICA
125, , ,23,PROTECCION SOCIAL,51,ASISTENCIA SOCIAL
126, , ,5,ORDEN PUBLICO Y SEGURIDAD,14,ORDEN INTERNO
127, , ,17,AMBIENTE,55,GESTION INTEGRAL DE LA CALIDAD AMBIENTAL
128, , ,8,COMERCIO,6,GESTION
129, , ,5,ORDEN PUBLICO Y SEGURIDAD,16,GESTION DE RIESGOS Y EMERGENCIAS
130, , ,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",10,EFICIENCIA DE MERCADOS
131, , ,16,COMUNICACIONES,38,TELECOMUNICACIONES
132, , ,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",12,IDENTIDAD Y CIUDADANIA
133, , ,23,PROTECCION SOCIAL,4,PLANEAMIENTO GUBERNAMENTAL
134, , ,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
135, , ,9,TURISMO,22,TURISMO
136, , ,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",7,RECAUDACION
137, , ,19,VIVIENDA Y DESARROLLO URBANO,4,PLANEAMIENTO GUBERNAMENTAL
138, , ,21,CULTURA Y DEPORTE,45,CULTURA
139,99,GOBIERNOS REGIONALES,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
140,99,GOBIERNOS REGIONALES,22,EDUCACION,6,GESTION
141,99,GOBIERNOS REGIONALES,20,SALUD,44,SALUD INDIVIDUAL
142,99,GOBIERNOS REGIONALES,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",4,PLANEAMIENTO GUBERNAMENTAL
143,99,GOBIERNOS REGIONALES,22,EDUCACION,11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
144,99,GOBIERNOS REGIONALES,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
145,99,GOBIERNOS REGIONALES,7,TRABAJO,20,TRABAJO
146,99,GOBIERNOS REGIONALES,10,AGROPECUARIA,25,RIEGO
147,99,GOBIERNOS REGIONALES,11,PESCA,27,ACUICULTURA
148,99,GOBIERNOS REGIONALES,23,PROTECCION SOCIAL,51,ASISTENCIA SOCIAL
