id_ubigeo,DEPARTAMENTO_EJECUTORA,DEPARTAMENTO_EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA,PROVINCIA_EJECUTORA_NOMBRE,DISTRITO_EJECUTORA,DISTRITO_EJECUTORA_NOMBRE
1,8,CUSCO,9,LA CONVENCION,10,UNIDAD DE GESTION DE APOYO AL DESARROLLO SOSTENIBLE DEL VRAEM
2,15,LIMA,1,LIMA,1,AUTORIDAD PARA LA RECONSTRUCCION CON CAMBIOS - RCC
3,15,LIMA,1,LIMA,1,COMISION NAC. PARA EL DESARROLLO Y VIDA SIN DROGAS  - DEVIDA
4,15,LIMA,1,LIMA,1,DESPACHO PRESIDENCIAL
5,15,LIMA,1,LIMA,1,SECRETARIA GENERAL - PCM
6,15,LIMA,1,LIMA,4,DIRECCION  NACIONAL DE INTELIGENCIA- DINI
7,15,LIMA,1,LIMA,13,AUTORIDAD NACIONAL DE SERVICIO CIVIL
8,15,LIMA,1,LIMA,13,INSTITUTO NACIONAL DE ESTADISTICA E INFORMATICA- INEI
9,15,LIMA,1,LIMA,20,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE- OSINFOR
10,15,LIMA,1,LIMA,20,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA
11,15,LIMA,1,LIMA,20,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO
12,15,LIMA,1,LIMA,22,BICENTENARIO DE LA INDEPENDENCIA DEL PERU
13,15,LIMA,1,LIMA,22,"FONDO NACIONAL DE DESARROLLO CIENTIFICO, TECNOLOGICO Y DE INNOVACION TECNOLOGICA- FONDECYT"
14,15,LIMA,1,LIMA,30,"CONSEJO NACIONAL DE CIENCIA,  TECNOLOGIA E INNOVACION TECNOLOGICA - CONCYTEC"
15,15,LIMA,1,LIMA,30,INST.NAC. DE DEFENSA DE LA COMPETENCIA Y PROTEC.DE LA  PROP. INTELECTUAL - INDECOPI
16,15,LIMA,1,LIMA,30,ORGANISMO SUPERVISOR DE LA INVERSION PRIVADA EN TELECOMUNICACIONES
17,15,LIMA,1,LIMA,31,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO- CEPLAN
18,15,LIMA,1,LIMA,41,ORGANISMO SUPERVISOR DE LA INVERSION EN INFRAESTRUCTURA DE TRANSPORTE DE USO PUBLICO
19,8,CUSCO,1,CUSCO,8,MC - CUSCO
20,13,LA LIBERTAD,1,TRUJILLO,1,MC - LA LIBERTAD
21,13,LA LIBERTAD,9,SANCHEZ CARRION,1,MC- MARCAHUAMACHUCO
22,14,LAMBAYEQUE,3,LAMBAYEQUE,1,MC- NAYLAMP - LAMBAYEQUE
23,15,LIMA,1,LIMA,1,BIBLIOTECA NACIONAL DEL PERU
24,15,LIMA,1,LIMA,1,OFICINA TECNICA ADMINISTRATIVA-ARCHIVO GENERAL DE LA NACION
25,15,LIMA,1,LIMA,14,ZONA ARQUEOLOGICA CARAL
26,15,LIMA,1,LIMA,15,INSTITUTO NACIONAL DE RADIO Y TELEVISION DEL PERU - IRTP
27,15,LIMA,1,LIMA,30,MC - PROYECTOS ESPECIALES
28,15,LIMA,1,LIMA,30,MINISTERIO DE CULTURA - ADMINISTRACION GENERAL
29,2,ANCASH,1,HUARAZ,1,CORTE SUPERIOR DE JUSTICIA DE ANCASH
30,2,ANCASH,18,SANTA,1,CORTE SUPERIOR DE JUSTICIA DE SANTA
31,3,APURIMAC,1,ABANCAY,1,CORTE SUPERIOR DE JUSTICIA DE APURIMAC
32,4,AREQUIPA,1,AREQUIPA,1,CORTE SUPERIOR DE JUSTICIA DE AREQUIPA
33,5,AYACUCHO,1,HUAMANGA,1,CORTE SUPERIOR DE JUSTICIA DE AYACUCHO
34,6,CAJAMARCA,1,CAJAMARCA,1,CORTE SUPERIOR DE JUSTICIA DE CAJAMARCA
35,7,PROVINCIA CONSTITUCIONAL DEL CALLAO,1,PROV. CALLAO,1,CORTE SUPERIOR DE JUSTICIA DE CALLAO
36,8,CUSCO,1,CUSCO,1,CORTE SUPERIOR DE JUSTICIA DE CUSCO
37,10,HUANUCO,1,HUANUCO,1,CORTE SUPERIOR DE JUSTICIA DE HUANUCO
38,11,ICA,1,ICA,1,CORTE SUPERIOR DE JUSTICIA DE ICA
39,12,JUNIN,1,HUANCAYO,14,CORTE SUPERIOR DE JUSTICIA DE JUNIN
40,13,LA LIBERTAD,1,TRUJILLO,1,CORTE SUPERIOR DE JUSTICIA DE LA LIBERTAD
41,14,LAMBAYEQUE,1,CHICLAYO,1,CORTE SUPERIOR DE JUSTICIA DE LAMBAYEQUE
42,15,LIMA,1,LIMA,1,ACADEMIA DE LA MAGISTRATURA
43,15,LIMA,1,LIMA,1,CORTE SUPERIOR DE JUSTICIA DE LIMA
44,15,LIMA,1,LIMA,1,GERENCIA GENERAL DEL PODER JUDICIAL
45,15,LIMA,1,LIMA,1,UNIDAD DE COORDINACION DE PROYECTOS DEL PODER JUDICIAL
46,15,LIMA,1,LIMA,3,CORTE SUPERIOR DE JUSTICIA DE LIMA ESTE
47,15,LIMA,1,LIMA,12,CORTE SUPERIOR DE JUSTICIA DE LIMA NORTE
48,15,LIMA,1,LIMA,43,CORTE SUPERIOR DE JUSTICIA DE LIMA SUR
49,15,LIMA,8,HUAURA,1,CORTE SUPERIOR DE JUSTICIA DE HUAURA
50,20,PIURA,1,PIURA,1,CORTE SUPERIOR DE JUSTICIA DE PIURA
51,21,PUNO,1,PUNO,1,CORTE SUPERIOR DE JUSTICIA DE PUNO
52,22,SAN MARTIN,1,MOYOBAMBA,1,CORTE SUPERIOR DE JUSTICIA DE SAN MARTIN
53,25,UCAYALI,1,CORONEL PORTILLO,1,CORTE SUPERIOR DE JUSTICIA DE UCAYALI
54,2,ANCASH,1,HUARAZ,1,ADMINISTRACION - INAIGEM
55,15,LIMA,1,LIMA,13,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL- ADMINISTRACION - OEFA
56,15,LIMA,1,LIMA,13,SERVICIO NACIONAL DE METEOROLOGIA E HIDROLOGIA-SENAMHI
57,15,LIMA,1,LIMA,14,INSTITUTO GEOFISICO DEL PERU
58,15,LIMA,1,LIMA,30,ADMINISTRACION - SENACE
59,15,LIMA,1,LIMA,31,CONSERVACION DE BOSQUES
60,15,LIMA,1,LIMA,31,MINISTERIO DEL AMBIENTE - ADMINISTRACION GENERAL
61,15,LIMA,1,LIMA,31,SERV.NAC.AREAS NATURALES PROTEGIDAS POR EL ESTADO - SERNANP
62,16,LORETO,1,MAYNAS,1,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA
63,2,ANCASH,1,HUARAZ,1,ZONA REGISTRAL  VII  SEDE HUARAZ
64,4,AREQUIPA,1,AREQUIPA,1,INPE-OFICINA REGIONAL SUR AREQUIPA
65,4,AREQUIPA,1,AREQUIPA,1,SUNARP - SEDE AREQUIPA
66,5,AYACUCHO,1,HUAMANGA,1,SUNARP - SEDE AYACUCHO
67,8,CUSCO,1,CUSCO,1,INPE-OFICINA REGIONAL SUR ORIENTE CUSCO
68,8,CUSCO,1,CUSCO,8,ZONA REGISTRAL X CUSCO
69,11,ICA,1,ICA,1,ZONA REGISTRAL  XI  SEDE ICA
70,12,JUNIN,1,HUANCAYO,1,INPE-OFICINA REGIONAL CENTRO HUANCAYO
71,12,JUNIN,1,HUANCAYO,14,ZONA REGISTRAL  VIII  SEDE HUANCAYO
72,13,LA LIBERTAD,1,TRUJILLO,1,SUNARP - SEDE TRUJILLO
73,14,LAMBAYEQUE,1,CHICLAYO,1,INPE-OFICINA REGIONAL NORTE CHICLAYO
74,14,LAMBAYEQUE,1,CHICLAYO,1,SUNARP - SEDE CHICLAYO
75,15,LIMA,1,LIMA,1,INPE-OFICINA GENERAL DE INFRAESTRUCTURA
76,15,LIMA,1,LIMA,1,INPE-OFICINA REGIONAL LIMA
77,15,LIMA,1,LIMA,1,INSTITUTO NACIONAL PENITENCIARIO-SEDE CENTRAL- ADMINISTRACION LIMA
78,15,LIMA,1,LIMA,13,SUNARP - SEDE LIMA
79,15,LIMA,1,LIMA,16,CENTROS JUVENILES
80,15,LIMA,1,LIMA,22,MINISTERIO DE JUSTICIA-OFICINA GENERAL DE ADMINISTRACION
81,15,LIMA,1,LIMA,40,SUNARP - SEDE CENTRAL
82,16,LORETO,1,MAYNAS,1,ZONA REGISTRAL  IV  SEDE IQUITOS
83,20,PIURA,1,PIURA,1,ZONA REGISTRAL  I  SEDE PIURA
84,21,PUNO,1,PUNO,1,INPE-OFICINA REGIONAL ALTIPLANO PUNO
85,22,SAN MARTIN,1,MOYOBAMBA,1,ZONA REGISTRAL  III  SEDE MOYOBAMBA
86,22,SAN MARTIN,9,SAN MARTIN,1,INPE-OFICINA REGIONAL NOR ORIENTE SAN MARTIN
87,23,TACNA,1,TACNA,1,ZONA REGISTRAL  XIII  SEDE TACNA
88,25,UCAYALI,1,CORONEL PORTILLO,1,INPE-OFICINA REGIONAL ORIENTE PUCALLPA
89,25,UCAYALI,1,CORONEL PORTILLO,1,ZONA REGISTRAL  VI  SEDE PUCALLPA
90,4,AREQUIPA,1,AREQUIPA,26,PNP - XI DIRECCION  TERRITORIAL DE POLICIA - AREQUIPA
91,8,CUSCO,1,CUSCO,1,X DIRECCION TERRITORIAL  DE POLICIA -  CUSCO
92,10,HUANUCO,1,HUANUCO,1,REGION POLICIAL HUANUCO - SAN MARTIN - UCAYALI
93,12,JUNIN,1,HUANCAYO,1,VIII DIRECCION TERRITORIAL  DE POLICIA - HUANCAYO
94,13,LA LIBERTAD,1,TRUJILLO,1,III DIRTEPOL - TRUJILLO
95,15,LIMA,1,LIMA,1,DIRECCION DE AVIACION POLICIAL
96,15,LIMA,1,LIMA,1,DIRECCION EJECUTIVA DE INVESTIGACION CRIMINAL Y APOYO A LA JUSTICIA PNP- DIREICAJ PNP
97,15,LIMA,1,LIMA,1,VII DIRECCION TERRITORIAL  DE POLICIA- LIMA
98,15,LIMA,1,LIMA,5,SUPERINTENDENCIA NACIONAL DE MIGRACIONES - MIGRACIONES
99,15,LIMA,1,LIMA,13,ESCUELA NACIONAL DE FORMACIÓN PROFESIONAL POLICIAL PNP
100,15,LIMA,1,LIMA,20,"SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS DE SEGURIDAD, ARMAS, MUNICIONES Y EXPLOSIVOS DE USO CIVIL- SUCAMEC"
101,15,LIMA,1,LIMA,22,SANIDAD DE LA PNP
102,15,LIMA,1,LIMA,28,DIRECCION DE ECONOMIA Y FINANZAS DE LA PNP
103,15,LIMA,1,LIMA,31,DIRECCION EJECUTIVA  ANTIDROGAS- DIREJANDRO PNP
104,15,LIMA,1,LIMA,31,INTENDENCIA NACIONAL DE BOMBEROS DEL PERÚ - INBP
105,15,LIMA,1,LIMA,31,MINISTERIO DEL INTERIOR-OFICINA GENERAL DE ADMINISTRACION
106,15,LIMA,1,LIMA,31,OFICINA GENERAL DE INFRAESTRUCTURA (M.DEL INTERIOR)
107,20,PIURA,1,PIURA,1,REGION POLICIAL PIURA
108,15,LIMA,1,LIMA,1,M. DE RELACIONES EXTERIORES- SUBSECRETARIA DE ADMINISTRACION
109,15,LIMA,1,LIMA,22,AGENCIA PERUANA DE COOPERACION INTERNACIONAL - APCI
110,15,LIMA,1,LIMA,1,MEF-ADMINISTRACION GENERAL
111,15,LIMA,1,LIMA,1,MEF-SECRETARIA TECNICA DE APOYO A LA COMISION AD HOC CREADA POR LA LEY 29625
112,15,LIMA,1,LIMA,1,OFICINA DE NORMALIZACION PREVISIONAL-ONP
113,15,LIMA,1,LIMA,1,OFICINA GENERAL DE INVERSIONES Y PROYECTOS
114,15,LIMA,1,LIMA,1,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA
115,15,LIMA,1,LIMA,13,ORGANISMO SUPERVISOR DE LAS CONTRATACIONES DEL ESTADO
116,15,LIMA,1,LIMA,22,SUPERINTENDECIA DEL MERCADO DE VALORES - SMV
117,15,LIMA,1,LIMA,31,AGENCIA DE PROMOCION DE LA INVERSION PRIVADA - PROINVERSION
118,15,LIMA,1,LIMA,31,CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS
119,15,LIMA,1,LIMA,31,MEF - SECRETARIA TECNICA DEL CONSEJO FISCAL
120,1,AMAZONAS,1,CHACHAPOYAS,1,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS
121,1,AMAZONAS,2,BAGUA,1,U.N. INTERCULTURAL FABIOLA SALAZAR LEGUIA DE BAGUA-UNIFSL
122,2,ANCASH,1,HUARAZ,5,UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO
123,2,ANCASH,18,SANTA,1,UNIVERSIDAD NACIONAL DEL SANTA
124,3,APURIMAC,1,ABANCAY,1,UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC
125,3,APURIMAC,2,ANDAHUAYLAS,1,UNIVERSIDAD NACIONAL JOSE MARIA ARGUEDAS
126,4,AREQUIPA,1,AREQUIPA,1,UNIVERSIDAD NACIONAL DE SAN AGUSTIN
127,5,AYACUCHO,1,HUAMANGA,1,UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA
128,5,AYACUCHO,4,HUANTA,1,UNIVERSIDAD NACIONAL AUTONOMA DE HUANTA- UNAH
129,6,CAJAMARCA,1,CAJAMARCA,1,UNIVERSIDAD NACIONAL DE CAJAMARCA
130,6,CAJAMARCA,4,CHOTA,1,UNIVERSIDAD NACIONAL AUTONOMA DE CHOTA
131,6,CAJAMARCA,8,JAEN,1,UNIVERSIDAD NACIONAL DE JAEN
132,7,PROVINCIA CONSTITUCIONAL DEL CALLAO,1,PROV. CALLAO,1,UNIVERSIDAD NACIONAL DEL CALLAO
133,8,CUSCO,1,CUSCO,1,UNIVERSIDAD NACIONAL DIEGO QUISPE TITO
134,8,CUSCO,1,CUSCO,1,UNIVERSIDAD NACIONAL SAN ANTONIO ABAD DEL CUSCO
135,8,CUSCO,9,LA CONVENCION,1,UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA
136,9,HUANCAVELICA,1,HUANCAVELICA,1,UNIVERSIDAD NACIONAL DE HUANCAVELICA
137,9,HUANCAVELICA,7,TAYACAJA,1,U. N. AUTONOMA DE TAYACAJA DANIEL HERNANDEZ MORILLO
138,10,HUANUCO,1,HUANUCO,1,UNIVERSIDAD NACIONAL DANIEL ALOMIA ROBLES
139,10,HUANUCO,1,HUANUCO,1,UNIVERSIDAD NACIONAL HERMILIO VALDIZAN
140,10,HUANUCO,6,LEONCIO PRADO,1,UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA
141,11,ICA,1,ICA,1,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA
142,12,JUNIN,1,HUANCAYO,1,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU
143,12,JUNIN,3,CHANCHAMAYO,3,UNIV.NAC. INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA
144,12,JUNIN,7,TARMA,1,U. N. AUTÓNOMA ALTOANADINA DE TARMA - UNAAT
145,13,LA LIBERTAD,1,TRUJILLO,1,UNIVERSIDAD NACIONAL DE TRUJILLO
146,13,LA LIBERTAD,9,SANCHEZ CARRION,1,UNIVERSIDAD NACIONAL CIRO ALEGRIA
147,14,LAMBAYEQUE,3,LAMBAYEQUE,1,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO
148,15,LIMA,1,LIMA,1,DIRECCION DE EDUCACION DE LIMA
149,15,LIMA,1,LIMA,1,ESCUELA NACIONAL DE BELLAS ARTES
150,15,LIMA,1,LIMA,1,ESCUELA NACIONAL SUPERIOR DE FOLKLORE  J.M.A 
151,15,LIMA,1,LIMA,1,INSTITUTO PERUANO DEL DEPORTE - IPD
152,15,LIMA,1,LIMA,1,M.E. - ESCUELA NACIONAL SUPERIOR DE ARTE DRAMATICO  GUILLERMO UGARTE CHAMORRO 
153,15,LIMA,1,LIMA,1,M.E.-PROGRAMA NACIONAL DE INFRAESTRUCTURA  EDUCATIVA
154,15,LIMA,1,LIMA,1,PROGRAMA EDUCACION BASICA PARA TODOS
155,15,LIMA,1,LIMA,1,PROYECTO ESPECIAL DE INVERSION PUBLICA ESCUELAS BICENTENARIO
156,15,LIMA,1,LIMA,1,SUNEDU - SEDE CENTRAL
157,15,LIMA,1,LIMA,1,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA
158,15,LIMA,1,LIMA,1,UNIVERSIDAD NACIONAL DE INGENIERIA
159,15,LIMA,1,LIMA,1,UNIVERSIDAD NACIONAL DE MÚSICA
160,15,LIMA,1,LIMA,1,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL
161,15,LIMA,1,LIMA,1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
162,15,LIMA,1,LIMA,3,USE 06 VITARTE
163,15,LIMA,1,LIMA,7,CENTRO VACACIONAL HUAMPANI
164,15,LIMA,1,LIMA,7,COLEGIO MAYOR SECUNDARIO PRESIDENTE DEL PERU
165,15,LIMA,1,LIMA,10,USE 04 COMAS
166,15,LIMA,1,LIMA,18,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE
167,15,LIMA,1,LIMA,28,USE 02 SAN MARTIN DE PORRAS
168,15,LIMA,1,LIMA,30,INICTEL- UNI
169,15,LIMA,1,LIMA,30,MINISTERIO DE EDUCACION-SEDE CENTRAL
170,15,LIMA,1,LIMA,30,PROGRAMA NACIONAL DE BECAS Y CREDITO EDUCATIVO
171,15,LIMA,1,LIMA,30,PROGRAMA NACIONAL DE DOTACION DE MATERIALES EDUCATIVOS
172,15,LIMA,1,LIMA,30,USE 07 SAN BORJA
173,15,LIMA,1,LIMA,31,"SISTEMA NAC. DE EVALUAC., ACREDITAC. Y CERTIFICACION DE LA CALIDAD EDUCATIVA"
174,15,LIMA,1,LIMA,32,USE 05 SAN JUAN DE LURIGANCHO
175,15,LIMA,1,LIMA,33,USE 01 SAN JUAN DE MIRAFLORES
176,15,LIMA,1,LIMA,36,USE 03 CERCADO
177,15,LIMA,1,LIMA,40,INSTITUTO PEDAGOGICO NACIONAL DE MONTERRICO
178,15,LIMA,1,LIMA,41,M.E. - ESCUELA NACIONAL SUPERIOR DE BALLET
179,15,LIMA,1,LIMA,42,UNIVERSIDAD NACIONAL TECNOLOGICA DE LIMA SUR
180,15,LIMA,2,BARRANCA,1,UNIVERSIDAD NACIONAL DE BARRANCA
181,15,LIMA,5,CANETE,1,UNIVERSIDAD NACIONAL DE CAÑETE
182,15,LIMA,8,HUAURA,1,UNIVERSIDAD NACIONAL FAUSTINO SANCHEZ CARRION
183,16,LORETO,1,MAYNAS,1,UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA
184,16,LORETO,2,ALTO AMAZONAS,1,UNIV. NACIONAL AUTONOMA DE ALTO AMAZONAS
185,17,MADRE DE DIOS,1,TAMBOPATA,1,UNIVERSIDAD NACIONAL AMAZONICA DE MADRE DE DIOS
186,18,MOQUEGUA,1,MARISCAL NIETO,1,UNIVERSIDAD NACIONAL DE MOQUEGUA
187,19,PASCO,1,PASCO,13,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION
188,20,PIURA,1,PIURA,4,UNIVERSIDAD NACIONAL DE PIURA
189,20,PIURA,6,SULLANA,1,UNIVERSIDAD NACIONAL DE FRONTERA
190,21,PUNO,1,PUNO,1,UNIVERSIDAD NACIONAL DEL ALTIPLANO
191,21,PUNO,11,SAN ROMAN,1,UNIVERSIDAD NACIONAL DE JULIACA
192,22,SAN MARTIN,9,SAN MARTIN,1,UNIVERSIDAD NACIONAL DE SAN MARTIN
193,23,TACNA,1,TACNA,1,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN
194,24,TUMBES,1,TUMBES,1,UNIVERSIDAD NACIONAL DE TUMBES
195,25,UCAYALI,1,CORONEL PORTILLO,1,UNIVERSIDAD NACIONAL DE UCAYALI
196,25,UCAYALI,1,CORONEL PORTILLO,5,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONIA
197,15,LIMA,1,LIMA,1,CENTRO NACIONAL DE ABASTECIMIENTOS DE RECURSOS ESTRATEGICOS DE SALUD
198,15,LIMA,1,LIMA,1,HOSPITAL NACIONAL DOCENTE MADRE NIÑO - SAN BARTOLOME
199,15,LIMA,1,LIMA,1,HOSPITAL NACIONAL DOS DE MAYO
200,15,LIMA,1,LIMA,1,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS
201,15,LIMA,1,LIMA,1,INSTITUTO NACIONAL MATERNO PERINATAL
202,15,LIMA,1,LIMA,3,HOSPITAL DE HUAYCAN
203,15,LIMA,1,LIMA,3,HOSPITAL EMERGENCIA ATE VITARTE
204,15,LIMA,1,LIMA,3,HOSPITAL VITARTE
205,15,LIMA,1,LIMA,5,HOSPITAL NACIONAL ARZOBISPO LOAYZA
206,15,LIMA,1,LIMA,5,INSTITUTO NACIONAL DE OFTALMOLOGIA
207,15,LIMA,1,LIMA,5,INSTITUTO NACIONAL DE SALUD DEL NIÑO
208,15,LIMA,1,LIMA,8,INSTITUTO NACIONAL DE REHABILITACION
209,15,LIMA,1,LIMA,8,INSTITUTO NACIONAL DE SALUD
210,15,LIMA,1,LIMA,10,HOSPITAL SERGIO BERNALES
211,15,LIMA,1,LIMA,11,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE
212,15,LIMA,1,LIMA,11,HOSPITAL NACIONAL HIPOLITO UNANUE
213,15,LIMA,1,LIMA,12,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE
214,15,LIMA,1,LIMA,13,ADMINISTRACION CENTRAL - MINSA
215,15,LIMA,1,LIMA,15,HOSPITAL DE EMERGENCIAS PEDIATRICAS
216,15,LIMA,1,LIMA,15,SEGURO INTEGRAL DE SALUD
217,15,LIMA,1,LIMA,18,HOSPITAL  JOSE AGURTO TELLO DE CHOSICA 
218,15,LIMA,1,LIMA,20,HOSPITAL NACIONAL VICTOR LARCO HERRERA
219,15,LIMA,1,LIMA,21,HOSPITAL DE APOYO SANTA ROSA
220,15,LIMA,1,LIMA,22,HOSPITAL DE EMERGENCIAS CASIMIRO ULLOA
221,15,LIMA,1,LIMA,25,HOSPITAL CARLOS LANFRANCO LA HOZ
222,15,LIMA,1,LIMA,30,INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA
223,15,LIMA,1,LIMA,31,FONDO INTANGIBLE SOLIDARIO DE SALUD - FISSAL
224,15,LIMA,1,LIMA,31,PROGRAMA NACIONAL DE INVERSIONES EN SALUD
225,15,LIMA,1,LIMA,32,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO
226,15,LIMA,1,LIMA,32,HOSPITAL SAN JUAN DE LURIGANCHO
227,15,LIMA,1,LIMA,33,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AUXILIADORA
228,15,LIMA,1,LIMA,35,HOSPITAL CAYETANO HEREDIA
229,15,LIMA,1,LIMA,35,INSTITUTO NACIONAL DE SALUD MENTAL
230,15,LIMA,1,LIMA,37,HOSPITAL HERMILIO VALDIZAN
231,15,LIMA,1,LIMA,40,SUPERINTENDENCIA NACIONAL DE SALUD
232,15,LIMA,1,LIMA,41,INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS
233,15,LIMA,1,LIMA,42,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA SUR
234,15,LIMA,1,LIMA,42,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR
235,15,LIMA,1,LIMA,13,MINISTERIO DE TRABAJO-OFICINA GENERAL DE ADMINISTRACION
236,15,LIMA,1,LIMA,13,PROGR. NAC. PARA LA PROM. DE OPORTUNIDADES LABORALES  IMPULSA PERU 
237,15,LIMA,1,LIMA,13,PROGRAMA  PARA LA GENERACION DE EMPLEO SOCIAL INCLUSIVO  TRABAJA PERU 
238,15,LIMA,1,LIMA,13,PROGRAMA NACIONAL DE EMPLEO JUVENIL  JOVENES PRODUCTIVOS 
239,15,LIMA,1,LIMA,13,SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL
240,5,AYACUCHO,1,HUAMANGA,1,MINAG - SIERRA CENTRO SUR
241,5,AYACUCHO,5,LA MAR,3,"PROYECTO ESPECIAL DE DESARROLLO DEL VALLE DE LOS RIOS APURIMAC, ENE Y MANTARO-PROVRAEM"
242,6,CAJAMARCA,5,CONTUMAZA,8,MINAG - JEQUETEPEQUE- ZAÑA
243,6,CAJAMARCA,8,JAEN,1,MINAG - JAEN- SAN IGNACIO- BAGUA
244,8,CUSCO,1,CUSCO,8,ESTACION EXPERIMENTAL AGRARIA ANDENES - CUZCO
245,10,HUANUCO,6,LEONCIO PRADO,1,MINAG - ALTO HUALLAGA
246,12,JUNIN,1,HUANCAYO,14,ESTACION EXPERIMENTAL AGRARIA SANTA ANA - JUNIN
247,12,JUNIN,3,CHANCHAMAYO,1,MINAG - PICHIS PALCAZU
248,14,LAMBAYEQUE,1,CHICLAYO,11,ESTACION EXPERIMENTAL AGRARIA VISTA FLORIDA - LAMBAYEQUE
249,15,LIMA,1,LIMA,1,PROGRAMA DE COMPENSACION PARA LA COMPETITIVIDAD
250,15,LIMA,1,LIMA,13,MINAGRI - FONDO SIERRA AZUL
251,15,LIMA,1,LIMA,13,MINAGRI- GESTION DE PROYECTOS SECTORIALES
252,15,LIMA,1,LIMA,13,MINISTERIO DE AGRICULTURA-ADMINISTRACION CENTRAL
253,15,LIMA,1,LIMA,13,PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRORURAL
254,15,LIMA,1,LIMA,13,PROGRAMA SUBSECTORIAL DE IRRIGACION - PSI
255,15,LIMA,1,LIMA,13,SERVICIO NACIONAL DE SANIDAD AGRARIA-SENASA
256,15,LIMA,1,LIMA,14,INSTITUTO NACIONAL DE INNOVACION AGRARIA
257,15,LIMA,1,LIMA,31,AUTORIDAD NACIONAL DE AGUA - SEDE CENTRAL
258,15,LIMA,1,LIMA,31,SERVICIO NAC. FORESTAL Y DE FAUNA SILVESTRE-SERFOR - SEDE CENTRAL
259,15,LIMA,1,LIMA,31,SIERRA Y SELVA EXPORTADORA
260,16,LORETO,1,MAYNAS,1,MINAG - BINACIONAL RIO PUTUMAYO
261,16,LORETO,2,ALTO AMAZONAS,1,PROY. ESP. DATEM DEL MARAÑON-ALTO AMAZONAS-LORETO-CONDORCANQUI-PEDAMAALC
262,21,PUNO,1,PUNO,1,ESTACION EXPERIMENTAL AGRARIA ILLPA- PUNO
263,21,PUNO,1,PUNO,1,MINAG - BINACIONAL LAGO TITICACA
264,22,SAN MARTIN,9,SAN MARTIN,1,ESTACION EXPERIMENTAL AGRARIA EL PORVENIR- SAN MARTIN
265,24,TUMBES,1,TUMBES,1,MINAG - BINACIONAL PUYANGO - TUMBES
266,25,UCAYALI,1,CORONEL PORTILLO,1,ESTACION EXPERIMENTAL AGRARIA PUCALLPA- UCAYALI
267,15,LIMA,1,LIMA,25,INSTITUTO PERUANO DE ENERGIA NUCLEAR
268,15,LIMA,1,LIMA,30,INSTITUTO GEOLOGICO MINERO Y METALURGICO
269,15,LIMA,1,LIMA,30,MEM - DIRECCION GENERAL DE ELECTRIFICACION RURAL
270,15,LIMA,1,LIMA,30,MINISTERIO DE ENERGIA Y MINAS-CENTRAL
271,15,LIMA,1,LIMA,13,CONTRALORIA GENERAL
272,15,LIMA,1,LIMA,1,DEFENSORIA DEL PUEBLO
